iata,city,secondary
ABR,Aberdeen,SD - United States
ABI,Abilene,TX - United States
ADK,Adak Island,AK - United States
KKI,Akiachak,AK - United States
AKI,Akiak,AK - United States
CAK,Akron/Canton,OH - United States
KQA,Akuton,AK - United States
AUK,Alakanuk,AK - United States
ALM,Alamogordo,NM - United States
ALS,Alamosa,CO - United States
ALB,Albany,NY - United States
CVO,Albany,OR - United States
QWY,Albany,OR - United States
ABQ,Albuquerque,NM - United States
WKK,Aleknagik,AK - United States
AEX,Alexandria,LA - United States
AET,Allakaket,AK - United States
ABE,Allentown,PA - United States
AIA,Alliance,NE - United States
APN,Alpena,MI - United States
AOO,Altoona,PA - United States
AMA,Amarillo,TX - United States
ABL,Ambler,AK - United States
AKP,Anaktueuk,AK - United States
ANC,Anchorage,AK - United States
AGN,Angoon,AK - United States
ANI,Aniak,AK - United States
ANV,Anvik,AK - United States
ATW,Appleton,WI - United States
ACV,Arcata,CA - United States
ARC,Arctic Village,AK - United States
AVL,Asheville,NC - United States
HTS,Ashland,KY - United States
ASE,Aspen,CO - United States
AHN,Athens,GA - United States
AKB,Atka,AK - United States
ATL,Atlanta,GA - United States
AIY,Atlantic City,NJ - United States
ATK,Atqasuk,AK - United States
AGS,Augusta,GA - United States
AUG,Augusta,ME - United States
AUS,Austin,TX - United States
BFL,Bakersfield,CA - United States
BWI,Baltimore,MD - United States
BGR,Bangor,ME - United States
BHB,Bar Harbour,ME - United States
BRW,Barrow,AK - United States
BTI,Barter Island,AK - United States
BTR,Baton Rouge,LA - United States
MBS,Bay City,MI - United States
BPT,Beaumont/Port Arthur,TX - United States
ZBV,Beaver Creek,CO - United States
WBQ,Beaver,AK - United States
BKW,Beckley,WV - United States
BED,Bedford,MA - United States
BLV,Belleville,IL - United States
BLI,Bellingham,WA - United States
BJI,Bemidji,MN - United States
BEH,Benton Harbor,MI - United States
BET,Bethel,AK - United States
ABE,Bethlehem,PA - United States
BTT,Bettles,AK - United States
BIL,Billings,MT - United States
GPT,Biloxi/Gulfport,MS - United States
BGM,Binghamton,NY - United States
KBC,Birch Creek,AK - United States
BHM,Birmingham,AL - United States
BIS,Bismarck,ND - United States
BID,Block Island,RI - United States
BMI,Bloomington,IL - United States
BLF,Bluefield,WV - United States
BOI,Boise,ID - United States
BOS,Boston,MA - United States
XHH,Boulder,CO - United States
WHH,Boulder,CO - United States
WBU,Boulder,CO - United States
BYA,Boundary,AK - United States
BWG,Bowling Green,KY - United States
BZN,Bozeman,MT - United States
BFD,Bradford,PA - United States
BRD,Brainerd,MN - United States
BWD,Brawnwood,TX - United States
QKB,Breckonridge,CO - United States
TRI,Bristol,VA - United States
BKX,Brookings,SD - United States
RBH,Brooks Lodge,AK - United States
BRO,Brownsville,TX - United States
BQK,Brunswick,GA - United States
BKC,Buckland,AK - United States
BUF,Buffalo,NY - United States
